layer,p
0,1.000000102179391
1,0.9638715088367462
2,0.9880048419748034
3,0.9650714908327375
4,0.9409286294664655
5,0.9664286119597298
6,0.9415238584790911
7,0.9623190973486219
8,0.9560238633837018
9,1.0021667097296034
10,1.3575286396912165
11,1.2705524521214622
12,1.3470810183456965
13,1.3360143559319633
14,1.3557476614202773
15,1.2710809920515334
16,1.1891000441142492
17,1.125923867736544
18,1.1209667026996613
19,1.1020238867827825
20,1.1075000677789961
21,1.084704795054027
22,1.126561952488763
23,1.1483095756598882
24,1.1354239072118486
25,1.1561000730310167
26,1.1749572030135564
27,1.1724238523415156
28,1.1845238506793976
29,1.1748238716806685
30,1.180595304284777
31,1.1708000259740012
32,1.1766190912042345
33,1.163061946630478
34,1.1603429232324873
35,1.1571381432669503
36,1.1515810234206063
37,1.161428621837071
38,1.17269053203719
39,1.168309565101351
40,1.1764809957572393
41,1.1950000609670366
42,1.192990528685706
43,1.2026429091181075
44,1.220476256949561
