layer,p
0,0.37199049443006516
1,0.37627144956163
2,0.38039049452969004
3,0.37493811175227165
4,0.3738476373255253
5,0.37213811544435366
6,0.37007620664579527
7,0.37049049511551857
8,0.3695095420948097
9,0.3712428691131728
10,0.3822571651211807
11,0.38236191655908314
12,0.3827190707836832
13,0.38369049344744
14,0.3861952562417303
15,0.3909238220325538
16,0.3911666859473501
17,0.39438573217817713
18,0.391957162214177
19,0.3907333527292524
20,0.39140001365116667
21,0.39305716327258516
22,0.41440954165799276
23,0.4400000146457127
24,0.43545716043029514
25,0.4462809754269464
26,0.4876381265265601
27,0.5057762265205383
28,0.5246904981987817
29,0.530452413218362
30,0.5425857433250972
31,0.5353000227894101
32,0.5245952627488545
33,0.5192952539239611
34,0.5409333471740995
35,0.5454238397734505
36,0.5262952649167606
37,0.5330000243016652
38,0.5260714516043663
39,0.5254095494747162
40,0.49545715962137493
41,0.4849619311945779
42,0.47420479144368854
43,0.5316666918141502
44,0.48607621661254335
