layer,p
0,0.0001491095338548933
1,0.0024029059069497244
2,0.0041169098445347375
3,0.007294510092054095
4,0.005544249500547137
5,0.007694052798407418
6,0.004514847482953753
7,0.00474421467099871
8,0.0034610629081726074
9,0.006048534597669329
10,0.037201144865580967
11,0.03555434090750558
12,0.08712433917181832
13,0.2068561656134469
14,0.2109952015536172
15,0.19974997639656067
16,0.1862359642982483
17,0.23209932020732335
18,0.24619056497301375
19,0.26725502950804575
20,0.2761581114360264
21,0.29513399941580637
22,0.316764771938324
23,0.3301467554909842
24,0.37839491026742117
25,0.3959250109536307
26,0.4174559456961496
27,0.4403394971575056
28,0.46615747043064665
29,0.47973619188581196
30,0.4802333286830357
31,0.48817743573869976
32,0.504878180367606
33,0.5124528067452567
34,0.5314510890415737
35,0.533980233328683
36,0.5398973737444196
37,0.5562537057059151
38,0.5635495867047992
39,0.5804050990513393
40,0.6204201834542411
41,0.6518031529017857
42,0.7491455078125
43,0.946533203125
44,0.833740234375
