layer,p
0,0.0001491095338548933
1,0.002279860632760184
2,0.003640796457018171
3,0.005526018994195121
4,0.004089121307645526
5,0.003999969788960048
6,0.0027459817273276193
7,0.00457191893032619
8,0.0043149760791233605
9,0.003931594746453422
10,0.001954959971564157
11,0.001215470688683646
12,0.0013611657278878348
13,0.0018881218773978098
14,0.002891604389463152
15,0.004398852586746216
16,0.004771628550120762
17,0.00949234196117946
18,0.019880167075565884
19,0.025675603321620395
20,0.043971896171569824
21,0.05059042572975159
22,0.051841565540858676
23,0.05326257007462638
24,0.11352672321455819
25,0.1435599880559104
26,0.15257384947368077
27,0.1651182004383632
28,0.189980115209307
29,0.1880964892251151
30,0.18949182544435775
31,0.19752518194062368
32,0.2002732753753662
33,0.19978744643075125
34,0.20261764526367188
35,0.20543989964893886
36,0.20819224630083358
37,0.20344746112823486
38,0.20033914702279226
39,0.18032230649675643
40,0.18566189493451798
41,0.15852988617760794
42,0.1308668851852417
43,0.15071853143828257
44,0.0287384603704725
