layer,p
0,0.25
1,0.26525003
2,0.24925001
3,0.26875
4,0.33125
5,0.38575003
6,0.294
7,0.31350002
8,0.32125002
9,0.365
10,0.28175002
11,0.31300002
12,0.3
13,0.29000002
14,0.29500002
15,0.36150002
16,0.407
17,0.44550002
18,0.45450002
19,0.51350003
20,0.51600003
21,0.54075
22,0.5835
23,0.59125
24,0.574
25,0.57925004
26,0.59400004
27,0.58150005
28,0.62750006
29,0.66525
30,0.6575
31,0.67050004
32,0.67875004
33,0.68350005
34,0.66450006
35,0.67300004
36,0.6825
37,0.68700004
38,0.68700004
39,0.70250005
40,0.70100003
41,0.671
42,0.666
43,0.71300006
44,0.71075004
