layer,p
0,0.3681973064584391
1,0.3583342039159366
2,0.3652376042945044
3,0.3683566546865872
4,0.3734018919723375
5,0.38088317960500717
6,0.380555802157947
7,0.3931132895605905
8,0.3869427133883749
9,0.3917370928185327
10,0.3859090358018875
11,0.4017095459359033
12,0.3922717816063336
13,0.3936455930982317
14,0.4081466112818037
15,0.4327102154493332
16,0.4457272323114531
17,0.4647248557635716
18,0.4742296167782375
19,0.4809734949043819
20,0.4846285900899342
21,0.49417434526341303
22,0.4984211027622223
23,0.4985423630901745
24,0.5031843770827565
25,0.49744407939059393
26,0.5099605768918991
27,0.5129146469490868
28,0.5146952601415771
29,0.515379783298288
30,0.5187619253993034
31,0.52009764952319
32,0.5181821691138404
33,0.5133979810135705
34,0.5131646458591733
35,0.5126071646809578
36,0.5087143140179771
37,0.5114006964223725
38,0.5106524197118623
39,0.5099649897643498
40,0.5024095454386303
41,0.4984095479760851
42,0.49287621889795574
43,0.5033238423722131
44,0.5049845448562077
