layer,p
0,0.5
1,0.503
2,0.521
3,0.49850002
4,0.51000005
5,0.5025
6,0.47400004
7,0.47100002
8,0.49750003
9,0.47900003
10,0.46350002
11,0.50450003
12,0.497
13,0.4645
14,0.51000005
15,0.5115
16,0.5055
17,0.48250002
18,0.48850003
19,0.47300002
20,0.469
21,0.46350002
22,0.46750003
23,0.47000003
24,0.4645
25,0.46550003
26,0.47950003
27,0.48800004
28,0.5025
29,0.51350003
30,0.5155
31,0.5105
32,0.52000004
33,0.5205
34,0.51600003
35,0.51100004
36,0.517
37,0.52150005
38,0.51250005
39,0.5195
40,0.51850003
41,0.5155
42,0.51000005
43,0.5105
44,0.51850003
