layer,p
0,0.5
1,0.4945
2,0.48700002
3,0.49650002
4,0.5475
5,0.48000002
6,0.51750004
7,0.5245
8,0.51100004
9,0.5375
10,0.53050005
11,0.517
12,0.492
13,0.49750003
14,0.5165
15,0.51850003
16,0.52000004
17,0.49400002
18,0.51100004
19,0.51000005
20,0.52150005
21,0.522
22,0.523
23,0.517
24,0.5155
25,0.51750004
26,0.508
27,0.514
28,0.512
29,0.508
30,0.5015
31,0.48650002
32,0.50600004
33,0.50200003
34,0.507
35,0.51500005
36,0.49550003
37,0.5015
38,0.50600004
39,0.505
40,0.5055
41,0.5055
42,0.49400002
43,0.492
44,0.50100005
