layer,p
0,0.3333334
1,0.32000002
2,0.333
3,0.31266668
4,0.33133337
5,0.317
6,0.32266667
7,0.34733337
8,0.34100002
9,0.34133333
10,0.3436667
11,0.357
12,0.30533335
13,0.29000002
14,0.316
15,0.347
16,0.39366668
17,0.4406667
18,0.4216667
19,0.44733334
20,0.44333333
21,0.4426667
22,0.4276667
23,0.41200003
24,0.44700003
25,0.45100003
26,0.45433334
27,0.46
28,0.4676667
29,0.4736667
30,0.47333336
31,0.47666672
32,0.47433338
33,0.469
34,0.49
35,0.48633334
36,0.462
37,0.44166666
38,0.44700003
39,0.43533337
40,0.43466666
41,0.44733337
42,0.43500003
43,0.43233332
44,0.4366667
