layer,p
0,0.5
1,0.52500004
2,0.47700003
3,0.52000004
4,0.508
5,0.53550005
6,0.526
7,0.507
8,0.5245
9,0.53000003
10,0.49750003
11,0.50350004
12,0.5005
13,0.54450005
14,0.568
15,0.5705
16,0.54150003
17,0.512
18,0.505
19,0.48150003
20,0.46400002
21,0.45650002
22,0.43800002
23,0.44300002
24,0.402
25,0.4065
26,0.4045
27,0.38650003
28,0.358
29,0.37600002
30,0.39800003
31,0.37300003
32,0.35050002
33,0.37350002
34,0.397
35,0.40350002
36,0.40850002
37,0.38300002
38,0.365
39,0.36900002
40,0.3375
41,0.33400002
42,0.33600003
43,0.35000002
44,0.30200002
